Sentence,Emoji,Condition,n,n_correct,accuracy
Presenteei vários amigos,🎅,b,10,10,1
Presenteei vários amigos,🫂,a,10,10,1
Tem uma mancha na blusa,🍷,b,9,9,1
Tem uma mancha na blusa,👕,a,10,10,1
Tem uma mancha na blusa,📹,c,10,10,1
A 🍐 estava muito madura,🍐,filler,29,28,0.9655172413793104
A 🕯️ apagou com o vento,🕯️,filler,29,28,0.9655172413793104
Ela pôs um🪮 no cabelo,🪮,filler,29,28,0.9655172413793104
Ela tocou 🎺 na orquestra,🎺,filler,29,28,0.9655172413793104
Eu acho chique usar 👒,👒,filler,29,28,0.9655172413793104
Meu🪞 é pequeno demais,🪞,filler,29,28,0.9655172413793104
Nós tivemos que usar a 🔦,🔦,filler,29,28,0.9655172413793104
O banco me mandou uma ✉️,✉️,filler,29,28,0.9655172413793104
O 🌵 vive dias sem água,🌵,filler,29,28,0.9655172413793104
O 📻 só passa música ruim,📻,filler,29,28,0.9655172413793104
O 🥷 foi muito sorrateiro,🥷,filler,29,28,0.9655172413793104
A 🐜 carregou a folhinha,🐜,filler,29,27,0.9310344827586207
Adoram beber 🧉 no Sul,🧉,filler,29,27,0.9310344827586207
Coloquei 🥫 no macarrão,🥫,filler,29,27,0.9310344827586207
Gosto de botar gelo no 🥃,🥃,filler,29,27,0.9310344827586207
O 🏺 tem mais de mil anos,🏺,filler,29,27,0.9310344827586207
A mulher quase desmaiou,🦜,c,10,9,0.9
Ela dorme de luz acesa,🪕,c,10,9,0.9
Ela foi aplaudida de pé,🎹,b,10,9,0.9
Ele não vai beber hoje,🍸,a,10,9,0.9
Eu admiro aquele homem,🎻,b,10,9,0.9
Eu adoro festas típicas,🌽,b,10,9,0.9
Eu estava suando bastante,🏇,b,10,9,0.9
Eu não consigo sair agora,🙅‍♂️,a,10,9,0.9
Eu não consigo sair agora,🥛,c,10,9,0.9
Eu tenho pavor de mato,🕌,c,10,9,0.9
Eu tenho pavor de mato,🪲,b,10,9,0.9
Fomos à galeria de arte,🔔,c,10,9,0.9
Meu colesterol está alto,🫏,c,10,9,0.9
O Brasil foi derrotado,⚽,b,10,9,0.9
O menino quebrou o dente,🍭,b,10,9,0.9
O nosso avião se atrasou,✈️,a,10,9,0.9
O nosso avião se atrasou,🥼,c,10,9,0.9
Ele perdeu a 🧤 na rua,🧤,filler,29,26,0.896551724137931
Eu estava suando bastante,🌾,c,9,8,0.8888888888888888
O evento foi cancelado,☔,b,9,8,0.8888888888888888
Ela usou o 🌂 na chuva,🌂,filler,29,25,0.8620689655172413
Ele escorregou da escada,🛹,b,10,8,0.8
Nós estamos sem internet,🌧️,b,10,8,0.8
Fomos à galeria de arte,👫,b,9,6,0.6666666666666666
Nós estamos sem internet,🩴,c,9,6,0.6666666666666666
O Brasil foi derrotado,🍒,c,9,6,0.6666666666666666
Ela adora 📚 de mistério,📚,filler,29,19,0.6551724137931034
Nós estamos sem internet,🛜,a,10,6,0.6
O Brasil foi derrotado,🇧🇷,a,10,6,0.6
Eu não consigo sair agora,🧻,b,9,5,0.5555555555555556
O som alto me despertou,🌏,c,9,3,0.3333333333333333
Ela está indo se vestir,👠,b,10,3,0.3
O som alto me despertou,🔊,a,10,1,0.1
